name,school,city,state,ranking
Marcus Washington,Grovetown,Grovetown,GA,0.9412
Jaylon Guilbeau,Memorial,Port Arthur,TX,0.9365
JaDarian Rhym,Valdosta,Valdosta,GA,0.9286
Jyaire Brown,Lakota West,West Chester,OH,0.9237
Bobby Taylor,Katy,Katy,TX,0.9233
Jacolby Spells,American Heritage,Fort Lauderdale,FL,0.9175
Jaden Mickey,Centennial,Corona,CA,0.916
Ryan Turner,Chaminade-Madonna Prep,Hollywood,FL,0.8979
Nikai Martinez,Apopka,Apopka,FL,0.8967
Caleb Coley,Houston County,Warner Robins,GA,0.887
Marcus Allen,Walton,Marietta,GA,0.8859
Jaylen Lewis,Haywood,Brownsville,TN,0.8804
Dainsus Miller,Creekside,Fairburn,GA,0.8678
Jacoby Mathews,Ponchatoula,Ponchatoula,LA,0.9817
